词语	义项描述	语料
济	渡过水流	[济] 河，围令狐
济	水名，汉名济水，今名午河	[济] 水源出 赞皇山
济	人名	)屈遵张蒲谷浑曾孙楷公孙表张[济]李先贾彝窦瑾李
济	救助，拯救	量大小以[济]人。
济	水名，汉名济水，今名午河	[济]河而西，马，散之华山之阳，而弗复乘；牛，散之桃林之野，而弗复服。
济	人名	[济]即前刺帝，刃出於背。
济	人名	[济]军瀛州，次子总为瀛州刺史，[济]署行营都知兵马使，使屯饶阳。
济	救助，拯救	[济]人之难，讵得相违？”
济	救助，拯救	[济]物便同川上楫，慰心还似邑中黔。
济	成功，成就	《彖》曰：“既[济]，亨”，小者亨也。“
济	流通，畅通	《彖》曰：“谦，亨”，天道下[济]而光明，地道卑而上行。
济	成功，成就	《彖》曰：“未[济]，亨”，柔得中也。“
济	渡过水流	〕懿泛舟潜[济]辽水，〔傍辽水〕作〔长〕围，弃城而向襄平。
济	成功，成就	必以忍，其乃有 [济]
济	渡过水流	成式将赵侃等[济]江至新丰，璘使瑒及其将高仙琦将兵击之；侃等逆战，射瑒中肩，璘兵遂溃。
济	渡口，过河的地方	川既漾(水流长)而 [济] 深
济	地名（州，国等）	丁亥，皇甫惟明引军出西平，击吐蕃，行千馀里，攻洪[济]城，破之。
济	[济济]，众多貌，或多威仪貌	凡行容，庙中齐齐，朝庭[济][济]翔翔。君子之容舒迟，见所尊者齐
济	及，比得上	果然我们就不 [济] 凤丫头了?
济	增益	盍请 [济] 师于王(盍:为什么不)
济	地名（州，国等）	建元三年，代王登、长沙王发、中山王胜、 [济] 川王明来朝，天子置酒，胜闻乐声而泣。
济	地名（州，国等）	建元三年，代王登、长沙王发、中山王胜、[济]川王明来朝，天子置酒，胜闻乐声而泣。
济	用，发挥（作用），中用，能干	臼杵之利，万民以 [济]
济	用，发挥（作用），中用，能干	你忒不 [济] ，不 [济] !又要马骑，又不放我去，似这般看着行李，坐到老罢!
济	[济济]，众多貌，或多威仪貌	虔其宗祝，道其顺辞，以昭祀其先祖，肃肃[济][济]，如或临之。于是乎合其州乡朋友婚姻，比尔兄弟亲戚
济	用，发挥（作用），中用，能干	然后乃能各 [济] 其所长也
济	停，止	三月春风不 [济]
济	流通，畅通	天下之物，莫柔弱于水，利贯金石，强 [济] 天下
济	古代一种封侯名	兴居以为天子自击胡，遂发兵反，上闻之，罢兵归长安，使棘蒲侯柴将军击破，虏 [济] 北王。
济	专名	兴居以为天子自击胡，遂发兵反，上闻之，罢兵归长安，使棘蒲侯柴将军击破，虏[济]北王。
济	弥补	又因中国文字太难，只得用图画来 [济] 文字之穷的产物
济	[济济]，众多貌，或多威仪貌	於穆清庙，肃黼显相。[济][济]多士，秉文之德。
济	古代一种封侯名	越乃击杀[济]北王田安。
济	流通，畅通	自知曰稽,知人曰 [济]
加	诬枉，夸大	[加] ，语相增 [加] 也
加	把某种行为（包括恩惠，爵禄，刑罚）施加于别人身上	[加]‘太’字者，所以别尊称也。
加	把一个物体放到另一个物体上面	[加]巨斧于桐薪之上，而无人力之奉，虽顺招摇，挟刑德，而弗能破者，以其无势也。
加	把某种行为（包括恩惠，爵禄，刑罚）施加于别人身上	[加]李鸿章、左宗棠太子太保衔，鸿章以湖广总督协办大学士，丁宝桢、英翰、崇厚并[加]太子少保衔，复官文衔翎，晋刘铭传一等男，郭松林一等轻车都尉，赏宋庆、善庆二等轻车都尉，刘松山黄马褂、三等轻车都尉，郭宝昌、张曜、温德勒克西骑都尉，黄翼升[加]一云骑尉，复陈国瑞提督世职，馀升叙有差。
加	把某种行为（包括恩惠，爵禄，刑罚）施加于别人身上	[加]授建忠将军，追赠其父处顺州刺史。
加	增加	[加]一字之谥，人犹劝惩，闻知之者，莫不自勉。
加	增加	[加]知枢密院事秃忽鲁左丞相。
加	增加	宝玉道：“我是个糊涂人，得教我那个‘大’字[加]一勾，中间一个‘五’字的。”
加	使用，发动	兵之所[加]者，農不離其田業，賈不離其肆宅，士大夫不離其官府，由其武議在於一人，故兵不血刃，而天下親焉。
加	用作人名或姓氏	丙申，以江南总摄杨琏真[加]发宋陵冢所收金银宝器修天衣寺。
加	把一个物体放到另一个物体上面	常服冠，红绒结顶，不[加]梁，馀如吉服冠。
加	专名	大夫食邑，士食田，庶人食力，工商食官，皂隶食职，官宰食[加]。
加	所得，收获	大夫食邑，士食田，庶人食力，工商食官，皂隶食职，官宰食[加]。
加	表示程度，相当于“更加”，“愈加”	当其不举也，未必[加]忧辱也。
加	表示程度，相当于“更加”，“愈加”	欢益[加]抚待，亦无陈白。
加	诬枉，夸大	君子称其功以 [加] 小人
加	把一个物体放到另一个物体上面	康王跨之，灵王肘[加]焉，子干、子皙皆远之。
加	用作人名或姓氏	康王跨之，灵王肘[加]焉，子干、子皙皆远之。
加	用作人名或姓氏	康王跨之；子圉肘[加]焉；子干、子晰皆远之；弃疾弱，抱而入，再拜皆压纽。
加	表示程度，相当于“更加”，“愈加”	孔子至舍，哀公馆之，闻此言也，言[加]信，行[加]义：“终没吾世，不敢以儒为戏。”
加	超越，超过	且夫天子以四海为家，非壮丽无以重威，且无令后世有以[加]也。
加	专名	求定朔弦望[加]时月度
加	超越，超过	湜尝曰：“陆公[加]於人一等。”
加	诬枉，夸大	我不欲人之 [加] 诸我也
加	超越，超过	休公逸艺无人[加]，声誉喧喧遍海涯。
加	[加林城]，在今朝鲜	于是，诸将议所向，或曰：“[加]林城水陆之冲，盍先击之？”
加	[加林城]，在今朝鲜	于是，诸将议所向，或曰：“[加]林城水陆之冲，盍先击之？”
将	携带	[将] 家就鱼麦，归老江湖边
将	将帅，将领	[将] 吏敢复有言迎操者
将	统率，率领，带领	[将] 数百之众( [将] ，带领)
将	将帅，将领	[将] 谓五官，左右虎贲、羽林、中郎 [将] 也
将	就要，将要，会	[将] 以有为也(这是唐朝名 [将] 南霁云的话，见于韩愈《张中丞传后序》文天祥引用此语，说明自己想忍辱留生，以图大举)
将	抑，或	[将] 有人主张之乎？ [将] 无人主张之乎？
将	请，愿	[将] 仲子兮，无逾我里，无折我树杞！
将	请，愿	[将] 子无怒，秋以为期。
将	就要，将要，会	[将] 自此始夫吴民离矣，体有所倾，譬如群兽然，一个负矢，[将]百群皆奔，王其无方收也。
将	就要，将要，会	[将]万骑出陇西，有功。
将	抑，或	[将]中道被试不过乎？
将	岂，难道	’先王其知之矣，贰[将]可乎?
将	[中郎将]，古代官职名	【赠五官中郎[将]四首（五言）】
将	相当于“以”，“用”	安之者必 [将] 道也。
将	将帅，将领	参谋崔燧以承宗祖母凉国夫人命，告谕诸[将]及亲兵，立承宗之弟观察支使承元。
将	拿，处置，致使，相当于“把”	尝欲寻包恺，乘一黄牛，被以蒲鞯，仍[将]《汉书》一帙挂于角上，一手捉牛靷，一手翻卷书读之。
将	携带	初，董卓之诛也，父瑞，知王允必败，京师不可居，乃命萌[将]家属至荆州依刘表。
将	携带	初，董卓之诛也，父瑞，知王允必败，京师不可居，乃命萌[将]家属至荆州依刘表。
将	[中郎将]，古代官职名	从参[将]达云击寇南川，勇冠军。
将	词尾，表示处置式，用在动词后面，以助语气	大虫去了一盏茶时，方才扒 [将] 起来
将	拿，处置，致使，相当于“把”	黛玉[将]头一扭道：“我不稀罕。”
将	拿，处置，致使，相当于“把”	到底我今有个主意，你既有约，今中了，少不得要个小，如今[将]他两个蓄了发，抬他过门，相熟的倒好过些。”
将	侧，旁	度其鲜原,居岐之阳,在渭之 [将] ,万邦之方,下民之王。
将	统率，率领，带领	而自[将]锐卒往赴召。
将	词尾，表示处置式，用在动词后面，以助语气	宫使驱 [将] 惜不得
将	统率，率领，带领	光[将]彭晃、徐炅攻破之，大豫奔广武，穆奔建康。
将	大，壮	嘉我未老，鲜我方 [将] 。旅力方刚，经营四方。
将	表示数量差不多，相当于“接近”	今滕绝长补短，[将]五十里也，犹可以为善国。
将	顺从，随从	景思念沙陀非克用不可[将]，乃以诏书召克用于达靼，承制以为代州刺史、雁门以北行营节度使。
将	顺从，随从	九夷宾 [将] 。颜师古注： [将] ，从也。
将	持，取，拿	可尽[将]钟磬来，朕当于内自定。”
将	送，送行	耒者弗迎，去者弗 [将]
将	词尾，表示处置式，用在动词后面，以助语气	刘老寻[将]一个媒妈来，对他说女儿翠翠要许西边金家定哥的说话。
将	岂，难道	名者，实之宾也，吾[将]为宾
将	【将将】严正貌，象声词	乃立应门，应门 [将]  [将] 。
将	表示性态，相当于“这才”，“乃”	如: [将] 在(刚刚)
将	下象棋时攻击对方的将或帅	如:当头炮一 [将]
将	方言，兽类生仔	如:钱放着也没有用，又不能 [将] 羔
将	在，于	如:誓 [将] 死里求生路
将	传达，表达	若宾死，未[将]命，则既敛于棺，造于朝，介将命
将	岂，难道	若无然，民 [将] 能登天乎?
将	奉行，秉承	使臣 [将] 王命，岂不如贼焉?
将	相当于“以”，“用”	苏秦始 [将] 连横说秦惠王。
将	供养，奉养	王事靡盬，不遑[将]父。
将	供养，奉养	王事靡盬，不遑[将]母。
将	行，进	维予小子，不聪敬止。日就月[将]，学有缉熙于光明。佛时仔肩，示我显德行。
将	扶，扶进	无 [将] 大车，祇自尘兮。无思百忧，祇自疧兮。
将	扶持，扶助	爷娘闻女来，出郭相扶 [将]
将	长，长久	以假以享，我受命溥 [将] 。自天降康，丰年穰穰。
将	持，取，拿	于是即[将]雌剑往见楚王。
将	持，取，拿	袁天君大怒，[将]剑来迎；战有数合，便走入阵内去了。
将	[中郎将]，古代官职名	赠五官中郎[将]四首（五言）
将	共，与	支道林在白马寺中, [将] 冯太常共语,因及《逍遥》,支卓然标新理于二家之表,立异义于众贤之外。
节	高峻的样子	[节] 彼南山，维石岩岩(山石满满)
节	气节，节操	爱听古人 [节] 义事
节	人名，称谓，谥号等	按：汉书表有“尉文[节]侯”，云在南郡。
节	某一段，由一整体分成的部分，段，区，片段或章节	按此[节]与卷五杜常《华清宫》条小异，并存之。
节	古代官名	包[节]级措手不及，被解宝一枷梢打重，把脑盖擗得粉碎。
节	古代官名	包[节]级措手不及，被解宝一枷梢打重，把脑盖擗得粉碎。
节	气节，节操	彼并身而立[节]，我诞谩而悠忽。
节	俭省，节约	裁 [节] 邮传冗费
节	气节，节操	辰州万户图格里不花母石抹氏以志[节]，漳州龙溪县陈必达以孝行，并旌其门。
节	符节，古代使者所持以作凭证	持 [节] 送匈奴使
节	符节，古代使者所持以作凭证	持 [节] 云中，何日遣 冯唐?
节	符节，古代使者所持以作凭证	敕封元帅号天蓬，钦赐钉钯为御[节]。
节	某一段，由一整体分成的部分，段，区，片段或章节	此是三[节]，须逐[节]详味，看教分明。
节	一定的程度，适度	大夫曰：“歌者不期于利声，而贵在中[节]；论者不期于丽辞，而务在事实。
节	古代官名	当牢[节]级却是美髯公朱仝。
节	俭省，节约	道光中，从载铨等言，裁八旗官拴马半额，以[节]出之费补兵饷焉。
节	一种通过敲击可以控制乐曲节奏的乐器，多指名拍板一类的乐器	钿头银篦击[节]碎，血色罗裙翻酒污
节	礼节，有礼貌的行为	对曰：“此皆饮食喜怒不[节]，或不当饮药，或不当针灸，以故不中期死也。”
节	某一段，由一整体分成的部分，段，区，片段或章节	而自古及今，各善一[节]。
节	一种通过敲击可以控制乐曲节奏的乐器，多指名拍板一类的乐器	飞余辔而西征，戍太真之旧营。鸣[节]鼓之金镯，屯戎车於石城
节	一定的程度，适度	夫妇 [节] 而天地和,风雨 [节] 而五谷熟,衣服 [节] 而肌肤和。
节	节令，节日，季节	更那堪冷落清秋 [节]
节	按低限度去做，节制	好廉自克曰 [节]
节	人名，称谓，谥号等	后四岁，宣帝地[节]四年，复立去兄文，是为戴王。
节	人名，称谓，谥号等	及[节]搏贼死山下，逵私念：“所部忠敢、澄海皆土兵，数困易衄，苟待令，必为贼所薄。
节	某个时段	及晚 [节] 色衰爱弛，而戚夫人有宠，其子如意几代太子者数矣。
节	一种通过敲击可以控制乐曲节奏的乐器，多指名拍板一类的乐器	江北万人看玉[节]，江南千骑引金铙。
节	节拍，节奏	皆击鼓为[节]，内监亦击拍板以和，止，退，释手鼓腰铃，司香设采氈，帝亲行礼如朝祭仪。
节	准则，法度，指一定的道德规范	今不轨之民，犯公法以相宠，举弃其亲，不能伏[节]死理，遁逃相连，自陷于罪，其被刑戮，不亦宜乎？
节	按低限度去做，节制	晋侯使行人问焉，曰：“子以君命镇抚弊邑，不腆先君之礼，以辱从者，不腆之乐以[节]之。
节	按低限度去做，节制	居[节]之极，故为苦[节]。
节	动物骨骼连接的地方	客胜，则大关 [节] 不利
节	准则，法度，指一定的道德规范	礼不逾 [节] ,不侵侮,不好狎。
节	节拍，节奏	每读其书，看得人头痛，更无一版有一件事做得应[节]拍
节	节拍，节奏	每闻琴瑟之声，则应[节]而舞
节	礼节，有礼貌的行为	木大者根扌瞿，山高者基扶，庶巨者志远，体大者[节]疏。
节	竹节，泛指植物分枝长叶的地方	譬如破竹，数 [节] 之后，皆迎刃而解
节	一定的程度，适度	其有不安 [节] ,则内竖以告世子,世子色忧不满容。
节	竹节，泛指植物分枝长叶的地方	其于木也，为坚多 [节]
节	俭省，节约	强本而 [节] 用，则天不能贫
节	礼节，有礼貌的行为	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之[节]，礼乐、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而教之以穷理、正心、修己、治人之道。
节	动物骨骼连接的地方	如：骨 [节] 、关 [节]
节	高峻的样子	诗云：“[节]彼南山，维石岩岩，赫赫师尹，民具尔瞻。”
节	节令，节日，季节	小暑六月[节]限数一百三十三，间数一百三十四
节	准则，法度，指一定的道德规范	兄乃欲妄萌逆[节]，凡在人臣，谁不愤叹！
节	限度	言民得豢酒，无复[节]限，卒至沈酗斗争杀伤，而刑狱益生烦多，则是酒之流害生其祸也。
节	限度	饮酒濡首,亦不知 [节] 也。
节	限度	育之以时，而用之有[节]。
竟	通“镜”	[竟] ，假借为镜。
竟	姓	[竟] ，姓。出何氏《姓苑》。
竟	地名	[竟] 陵王诞据广陵反，越领马军隶沈庆之攻诞。
竟	地名	[竟] 陵王诞据广陵反，越领马军隶沈庆之攻诞。
竟	地名	[竟] 陵王子良开西邸，招文学，高祖与沈约、谢朓、王融、萧琛、范云、任昉、陆倕等并游焉，号曰八友。
竟	终于，到底	[竟] 怒不救楚。
竟	竟然，倒，含出乎意料之意	[竟] 杀蛟而出。
竟	终于，到底	[竟] 未成麦饘，安能得粱肉。
竟	终于，到底	[竟] 无语凝噎。
竟	周遍	[竟] 以宗庙社稷。
竟	周遍	[竟] 夕起相思，谩嗟怨遥夜。
竟	径，一直，直接	[竟] 移步而前，进了山门，到正殿之上，拜了佛。
竟	国土的尽头，边境，后来写作“境”	……兵曰：主人逆客於 [竟] （境）……
竟	竟然，倒，含出乎意料之意	比先前 [竟] 似换了一个人了。
竟	竟然，倒，含出乎意料之意	彪辞让不听， [竟] 著布单衣、皮弁以见。
竟	终结	不能 [竟] 书而欲搁笔。
竟	终结	初受食时，先安在佛前，塔寺中佛前，众僧咒愿 [竟] ，便自受食。
竟	穷究	此县官重太后，故不 [竟] 也。
竟	国土的尽头，边境，后来写作“境”	大夫逆于 [竟] 者，执其手而与之言。
竟	径，一直，直接	但是我还是坐在外面做了文章传递，还是 [竟] 进去替他考？
竟	国土的尽头，边境，后来写作“境”	对曰：“子为正卿，亡不越 [竟] ，反不讨贼，非子而谁？”
竟	周遍	恩施下 [竟] 同学。
竟	穷究	光曰：“即无事，当穷 [竟] 。”
竟	通“競”，强劲	後汉张衡羽猎赋曰：皇上感天威之缪烈，思太昊之观虞，虞人表林麓而廓菜薮，翦荆梓而夷榛株，於是凤皇献历，太仆驾具，蚩尤先驱，雨师清路，山灵护阵，方神跸御，羲和奉辔，弭节西征，翠盖葳蕤，鸾鸣蹐蛇令，山谷为之澹淡，丘陵为之簸倾，於是皇舆绸缪，迁延容与，抗天津於伊洛，敻遥集乎南圃，大诏猎者， [竟] 逐长驱，轻车飚厉，羽骑电骛，雾合云集，波流雨注，马蹂麋鹿，轮辚雉兔，弓不妄弯，弩不虚举，鸟惊絓罗，兽与矢遇。
竟	径，一直，直接	虎悉扑杀之， [竟] 去。
竟	终结	即出言语，供设所有，极相娱乐，饮食已 [竟] ，因问之曰：「卿有何功德於世？
竟	奏乐完毕	乐曲尽为 [竟] 。
竟	穷究	儒生擿经，穷 [竟] 圣意；文吏摇笔，考迹民事。
竟	通“镜”	尚方作 [竟] 真大好，上有仙人不知老。《尚方镜铭》
竟	通“競”，强劲	死士为苍英之旗， [竟] 士为虎旗。
居	蹲，后来写作“踞”	[居] ，蹲也。从尸，古者 [居] 从古，俗 [居] 从足。
居	通“锢”，堵塞	[居] ，假借为锢。
居	坐	[居] ，吾语女。
居	通“举”	[居] 错迁徙，应变不穷，是圣人之辩者也。
居	住所	[居] 非连栋，行则同车。
居	存放，放置	[居] 父母之仇如之何？
居	占数量	[居] 三年，擢鸿胪卿，转通政副使。
居	姓名	[居] 氏，晋大夫先且 [居] 之后，以王父字为氏，汉有来城侯 [居] 般。今钱塘多此姓，望出渤海信都。《通志·氏族略四》
居	占数量	[居] 数日，怒解，命止行。
居	住所	[居] 停主人勿复言。
居	占数量	[居] 无何，汉攻下殷。
居	处，住	[居] 轩辕之丘，因以为名，又以为号”。
居	处在，处于	[居] 右者椎髻。
居	处，住	[居] 月余，间日与王老玄谈，杯酌甚相欢洽。
居	平时	[居] 则曰:“不吾知也。”
居	处，住	[居] 者， [居] 其所也。
居	姓名	[居] 正不敢受，闻之于帝。
居	姓名	[居] 正不敢受，闻之于帝。
居	囤积	[居] 之以为利。
居	处在，处于	[居] 左者右手执蒲葵扇。
居	止息，停留	(犍为舍人曰：人力水为 [居] 止。
居	处在，处于	’在舆有旅贲之规，位宁有官师之典，倚几有诵训之谏， [居] 娶有亵御之箴，临事有瞽史之导，宴 [居] 有师工之诵。
居	住所	《逸老堂诗话》，明人写本，有求古 [居] 主人跋，即士礼 [居] 黄荛翁也。
居	闲居。	彼 [居] 之子，罔或游盘。
居	蹲，后来写作“踞”	不宜 [居] 见长者。
居	闲居。	成王与唐叔虞燕 [居] ，援梧叶以为珪。
居	卑下	迟衡山道：“有一首诗念与先生听：‘气散风冲那可 [居] ，先生理骨理何如？
居	止息，停留	东：岠嵎，即书嵎夷，地理志“矱有 [居] 上山，声洋、丹水所出”。
居	坐	端 [居] 愁若痴，谁复理容色。
居	守持，担任	而王闳王莽时为牧守，所 [居] 见纪，莽败乃去官。
居	语助词	何 [居] 乎？形固可如槁木，心固可使如死灰乎？
居	守持，担任	黄飞虎官 [居] 王位，今主上失德，有乖天意，人心思乱，故舍纣而归周。
居	守持，担任	获神一也，有民二也，令德三也，宠贵四也， [居] 常五也。有五利以去五难，谁能害之?
居	存放，放置	家不 [居] 砻斫之器。
居	存放，放置	架者，所以 [居] 庶物也。
居	辨别	乐著大使而礼 [居] 成物。
居	坐	令女 [居] 其上。
居	通“倨”，傲慢	莫肯下遗，式 [居] 娄骄。
居	地位	其惟洗尔心，改尔行，克忧往愆，以保尔 [居] 。
居	为	其在人也，如竹箭之有筠也，如松柏之有心也，二者 [居] 天下之大端矣。
居	安。	岂世世贤哉，其势 [居] 然也。
居	通“锢”，堵塞	人之窍九，一有所 [居] 则八虚。
居	止息，停留	塞下之民，禄利不厚，不可使久 [居] 危难之地。
居	卑下	身 [居] 而名尊，躯辱而声荣。
居	闲居。	十人农一人 [居] 者，强。半农半 [居] 者，危。
居	语助词	谁 [居] ，后之人必有任是夫！
居	活着的人	送往事 [居] ，耦俱无猜，贞也。
居	蹲，后来写作“踞”	昔阖庐食不二味， [居] 不重席，室不崇坛。
居	安。	隐沦既已讬，灵异 [居] 然栖。
具	具备，备办	[具] ，备也，办也。
具	具备，备办	[具] ，供置也。
具	姓	[具] ，姓。《左传》有 [具] 丙。
具	全都	[具] 呈中书省，送户部定拟，自元统三年为始，广东提举司所办余盐，量减五千引。
具	地名	[具] 茨云木老，大块烟霞委。
具	地名	[具] 茨云木老，大块烟霞委。
具	全都	[具] 服金组，兼饰丹雘倚瓠切。
具	全都	[具] 馔于西塾。
具	陈述，开列	（李）顺初起，悉招乡里富人大姓，令 [具] 其家所有财粟，据其生齿足用之外，一切调发，大赈贫乏。
具	详尽，一五一十地	“今天师哀愚生为其 [具] 说，以何知天地常忿忿悒悒，而怨恶人数起土乎?”
具	详尽，一五一十地	《韩子》曰：昔齐桓公入山，问父老，此为何谷，答曰：臣旧畜牛生犊，以子买驹，少年谓牛不生驹，遂持而去，傍邻谓臣愚，遂名为愚公谷，说苑又载，事 [具] 人部讽篇。
具	详尽，一五一十地	《列仙传》曰：朱仲，会稽贩珠人也，高后时，献三寸珠，鲁元公主私以七百金，从仲求珠，仲献珠四寸，事 [具] 宝部。
具	陈述，开列	表弟潘又安 [具] 。
具	量词	厂广二万八千八百馀尺，设铸铜铁大小炉凡十一座，转运重件之将军柱、碾机、风箱、风櫃凡二十三 [具] 。
具	具备，备办	陈轸曰：“秦欲伐我久矣，今又得韩之名都一而 [具] 甲，秦、韩并兵南乡，此秦所以庙祠而求也。
具	陈述，开列	敕 [具] 官某：淮甸之民，荐罹饥馑，乃者诏发仓廪，辍吴楚之漕以拯其急，犹以乏食流徙，达于朕听。
具	器具，工具	德宗下诏哀痛，出衣数百称，官为赛 [具] ，敛以棺槥，分建二冢，大将曰旌义冢，士曰怀忠冢，葬浅水原，诏翰林学士为铭识其所。
具	器具，工具	奉生送死之 [具] 。
具	器具，工具	国君世子生，告于君，接以大牢，宰掌 [具] 。
具	才能，才具	皆信命世之才，抱将相之 [具] 。
具	酒馔，宴席	今有贵客，为 [具] 召之。
具	专名	年十八得度受 [具] 。
具	地名	适遇牧马童子，问涂焉，曰：“若知 [具] 茨之山乎？”
具	量词	胤丹四十分 蒺藜子十二分 桃仁四十分 狸阴一 [具] 去毛，灸 海藻二十四分马毛者，沉之
具	判决,定案	有某姓兄弟，以把持公仓，法应立决，狱 [具] 矣。
具	酒馔，宴席	则佐长者视 [具] 。
具	判决,定案	忠 [具] 狱，其母投诉光顺门匦，有诏御史审劾，一夕得状，乃释忠。
具	判决,定案	忠 [具] 狱，其母投诉光顺门匦，有诏御史审劾，一夕得状，乃释忠。
具	供置，陈设	兹予有乱政同位，[具]乃贝玉。乃祖乃父，丕乃告我高后曰∶『作丕刑于朕孙！』
勒	约束，统率	[勒]  卒 令 第 十 八
勒	马络头	[勒] ，马头络衔也。
勒	通“肋”，肋骨。	[勒] ，与肋字通用。
勒	姓名	[勒] 保短小精悍，多智数。
勒	约束，统率	[勒] 兵，下令军中。
勒	编纂	[勒] 成一代大典：凡十二纪，九十二列传，合一百一十卷。
勒	姓名	[勒] 从之，分命诸将攻冀州，郡县壁垒多降，运其谷以输襄国；且表于汉主聪，聪以 [勒] 为都督冀、幽、并、营四州诸军事、冀州牧，进封上党公。
勒	强制	[勒] 军中不得妄动。
勒	姓名	[勒] 率兵与澹战，伪收
勒	拉缰止马	[勒] 骐骥而更驾兮，造父为我操之。
勒	编纂	[勒] 为一卷，以垂将来。
勒	约束，统率	选骑得一万三千匹、百金之士五万人、控弦者十万人，悉 [勒] 兵习战，大纵畜牧，人民满
勒	通“肋”，肋骨。	“爰有禁楄， [勒] 分翼张。
勒	用绳类捆绑或套住再用力拉紧，箍，束	把条手巾，捉住佛郎，扑番在床上，便去一 [勒] 。
勒	强制	不想要 [勒] 燕青相扑。
勒	马络头	车骑之将，军马不具，鞍 [勒] 不备者，诛。
勒	马络头	赐有功将校二百二十三员银十万两及币帛、弓矢、鞍 [勒] 有差。
勒	雕刻	从征记北岩有秦始皇所 [勒] 铭。
勒	用绳类捆绑或套住再用力拉紧，箍，束	当日再三看验得，系是生前项上被刀 [勒] 死。
勒	雕刻	登岱 [勒] 封，与黄比崇。
勒	地名	东北至都护治所二千八百五十八里，东与小宛、南与婼羌、西与渠 [勒] 接，辟南不当道。
勒	地名	东北至都护治所二千八百五十八里，东与小宛、南与婼羌、西与渠 [勒] 接，辟南不当道。
勒	地名	东南，贵 [勒] 苏台。
勒	雕刻	二世元年，东巡碣石，并海南，历泰山，至会稽，皆礼祠之，而刻 [勒] 始皇所立石书旁，以章始皇之功德。
勒	书写	发羽忽次，率 [勒] 上报。
勒	强制	伏威引亲将十人操牛酒谒， [勒] 公祏严兵待变。
勒	书写	徽猷列于缃图，鸿名 [勒] 于青史。
勒	少数民族名称	连川敕 [勒] 谋叛，徙配青、徐、齐、兗四州为营户。
勒	少数民族名称	连川敕 [勒] 谋叛，徙配青、徐、齐、兗四州为营户。
勒	同“嘞”	刘素娘说得口渴哉，吃钟茶 [勒] 再说。
勒	专名	鸾旗第十八，执者一人，巾服佩同上；护者二人，硃白二色絁巾，二色絁生色宝相花袍， [勒] 帛，花靴，佩剑，加弓矢；后屏五人，巾服执同木星旗。
勒	用绳类捆绑或套住再用力拉紧，箍，束	蓬着头， [勒] 一条扁薄金箍；光着眼，簇两道黄眉的竖。
勒	勾画	青绫衲衫暖衬甲，红线 [勒] 巾光绕肋。
勒	少数民族名称	壬辰，自通玄门入，先遣一骑驰抵东华门，大呼曰：“达 [勒] 达至北关，已接战矣！”
勒	拉缰止马	三藏 [勒] 马观看，那岭上荆棘丫叉，薜萝牵绕。
勒	官爵名	顺治元年，世祖将迁燕京，设盛京八旗驻防兵，以正黄旗内大臣和洛会总统之，以镶黄旗梅 [勒] 章京统左翼，正红旗梅 [勒] 章京统右翼。
勒	官爵名	顺治元年，世祖将迁燕京，设盛京八旗驻防兵，以正黄旗内大臣和洛会总统之，以镶黄旗梅 [勒] 章京统左翼，正红旗梅 [勒] 章京统右翼。
勒	编纂	虽时有纰缪，实 [勒] 成一家，总其大较，信命世之宏才也。
勒	专名	太宗幸灵州，回，召靖赐坐，曰：「朕命道宗及阿史那社尔等讨薛延陀，而铁 [勒] 诸部
勒	勾画	小景并梅、菊、兰、松、墨竹，钩 [勒] 甚佳。
勒	拉缰止马	扬桴上陇坂， [勒] 骑下平原。
勒	乐器名	用得梨一，柏且尔一、得 [勒] 窝一。
勒	乐器名	用得梨一，柏且尔一、得 [勒] 窝一。
勒	书写	真个在时，你 [勒] 下军令状来。
陵	人名	[陵] ，本朝 [陵] 茂，高郵州人，永乐中任泺州同知。
陵	大土山	[陵] ，大阜也。
陵	坟墓，秦以后指帝王的坟墓	[陵] ，赏金莲，乃幸子河避暑。
陵	地名	[陵] ，元州属河间，命降县，后治德州故城。
陵	暴烈	[陵] 猋蒋荟，薪荛既积，营窟未谨。如此者，可火也。
陵	人名	[陵] 虽孤恩，汉亦负德。
陵	人名	[陵] 虽孤恩，汉亦负德。
陵	地名	(1)李强：杜 [陵] 人。
陵	侵凌，凌驾	(宁成)好气，为人小吏，必 [陵] 其长吏。
陵	侵凌，凌驾	’焚我郊保，冯 [陵] 我城郭。
陵	地名	哀容今共尽，凄怆杜 [陵] 田。
陵	坟墓，秦以后指帝王的坟墓	八且丙子，幸怀州，有事于诸 [陵] 。
陵	坟墓，秦以后指帝王的坟墓	丙子，以重修明 [陵] 成，上临阅，申禁樵采。
陵	侵凌，凌驾	臣立功累年，颇有寸效，伯嘉挟私 [陵] 轹，无复宣抚同僚之礼。
陵	淬砺	城郭不待饰而固，兵刃不待 [陵] 而劲，敌国不待服而诎。
陵	踰越，超过	初，神武遣令恕文略十死，恃此益横，多所[陵]忽。齐天保末，尝邀平秦、武兴、汝南诸王至宅，供设奢丽，各有赠贿
陵	水下隆起的地方	大船 [陵] 居（搁浅），小船没水。
陵	战慄	登高临危，而目不眴而足不 [陵] 者，此工匠之勇悍也。
陵	大土山	登长 [陵] 而四望兮，览芷圃之蠡蠡。
