爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
气,[名]1.雲氣。《說文解字．气部》：「气，雲氣也。」清．段玉裁．注：「气本雲氣，引申為凡氣之稱。」2.二一四部首之一。
企,[動]1.踮著腳尖，把腳後跟提起來。《漢書．卷一．高帝紀上》：「吏卒皆山東之人，日夜企而望歸。」《文選．謝靈運．從斤竹澗越嶺溪行詩》：「企石挹飛泉，攀林摘葉卷。」2.盼望。如：「企盼」、「企望」。
棄,[動]拋開、捨去。如：「放棄」、「丟棄」、「廢棄」、「棄置」。《孟子．盡心上》：「舜視棄天下，猶棄敝蹝也。」唐．李白〈宣州謝朓樓餞別校書叔雲〉詩：「棄我去者昨日之日不可留，亂我心者今日之日多煩憂。」[名]人名。周代始祖后稷。相傳他的母親姜原生他以後，曾把他棄置道旁，故以為名。
妾,[名]1.古代女子對自己的謙稱。如：「賤妾」。南朝宋．劉義慶《幽明錄．賣胡粉女子》：「妾豈復吝死，乞一臨尸盡哀。」唐．李益〈江南曲〉：「嫁得瞿塘賈，朝朝誤妾期。」2.男子的側室。俗稱為「姨太太」、「小老婆」。如：「三妻四妾」。元．劉時中〈端正好．眾生靈遭磨障套．叨叨令〉曲：「有錢的納寵妾買人口偏興旺，無錢的受飢餒填清壑遭災障。」
雀,雀斑的雀的語音。
丘,[名]1.小土山、小土堆。如：「沙丘」、「丘陵」、「丘垤」。唐．柳宗元〈愚溪詩序〉：「愚溪之上，買小丘為愚丘。」2.墳冢、墳墓。《文選．司馬遷．報任少卿書》：「亦何面目復上父母丘墓乎？」3.姓。如元代有丘處機。[形]大、長。
秋,[名]1.一年四季中的第三季。農曆為七、八、九月，陽曆為九、十、十一月。如：「秋天」、「秋季」、「中秋」、「深秋」、「一葉知秋」。唐．杜甫〈登高〉詩：「萬里悲秋常作客，百年多病獨登臺。」2.年。古代年的長度以二次秋收為準，故以秋代表年。如：「千秋萬世」、「一日不見，如隔三秋。」唐．劉禹錫〈蜀先主廟〉詩：「天地英雄氣，千秋尚凜然。」3.時候。如：「多事之秋」。《文選．諸葛亮．出師表》：「此誠危急存亡之秋也。」4.姓。如清代有秋瑾。[形]喻衰老。宋．陸游〈南鄉子．早歲入皇州〉詞：「三十年來真一夢，堪愁。客路蕭蕭兩鬢秋。」
囚,[動]拘禁。如：「囚禁」、「被囚」。《書經．蔡仲之命》：「囚蔡叔于郭鄰。」《史記．卷六二．管晏傳》：「及小白立為桓公，公子糾死，管仲囚焉。」[名]被拘禁的犯人或俘虜。如：「死囚」、「敵囚」。南朝宋．劉義慶《世說新語．言語》：「當共戮力王室，克復神州，何至作楚囚相對？」宋．歐陽修〈縱囚論〉：「其囚及期，而卒自歸無後者，是君子之所難，而小人之所易也。」
求,[動]1.找尋、探索、設法得到。如：「尋求」、「探求」、「實事求是」、「緣木求魚」。《呂氏春秋．慎大覽．察今》：「舟已行矣，而劍不行，求劍若此，不亦惑乎！」2.懇託、乞助。如：「求助」、「懇求」、「乞求」、「祈求」、「請求」。《後漢書．卷八二．方術傳下．華佗傳》：「又有疾者，詣佗求療。」3.要求。如：「苛求」、「求全責備」。《論語．微子》：「無求備於一人。」《論語．衛靈公》：「君子求諸己，小人求諸人。」4.貪圖。《論語．子罕》：「不忮不求，何用不臧！」唐．徐夤〈潤屋〉詩：「潤屋豐家莫妄求，眼看多是與身讎。」5.招引。《易經．乾卦．文言曰》：「同聲相應，同氣相求。」《孟子．公孫丑上》：「今國家間暇，及是時般樂怠敖，是自求禍也。」[名]姓。如漢代有求仲。
裘,[名]1.皮衣。如：「輕裘」、「貂裘」、「皮裘」。唐．李白〈將進酒〉：「五花馬，千金裘，呼兒將出換美酒，與爾同銷萬古愁。」宋．劉克莊〈苦寒行〉：「十月邊頭風色惡，官軍身上衣裘薄。」2.姓。如宋代有裘萬頃。
千,[名]1.數目字。十的百倍。《說文解字．十部》：「千，十百也。」大寫作「仟」。2.姓。如漢代有千獻。[形]眾多。如：「千方百計」、「千山萬水」。《老子》第六四章：「千里之行，始於足下。」唐．李白〈將進酒〉：「天生我材必有用，千金散盡還復來。」
臤,[形]堅固。《說文解字．臤部》：「臤，堅也。」
掔,[動]1.用手握緊。《說文解字．手部》「掔」字．清．段玉裁．注：「掔之言堅也，緊也，謂手持之固也。」《墨子．迎敵祠》：「令命昏緯狗、纂馬、掔緯。」2.牽引。通「牽」。《史記．卷四三．鄭世家》：「楚王入自皇門，鄭襄公肉袒掔羊以迎。」[形]厚實。《爾雅．釋詁下》：「掔，厚也。」晉．郭璞．注：「掔然，厚貌。」
牽,[動]1.拉、挽引。如：「牽手」、「順手牽羊」。《孟子．梁惠王上》：「有牽牛過堂下者。」唐．杜甫〈兵車行〉：「牽衣頓足闌道哭，哭聲直上于雲霄。」2.拘束、受制。如：「牽制」、「拘牽」。《呂氏春秋．離俗覽．離俗》：「不牽於勢。」《文選．鄒陽．獄中上書自明》：「此二國豈拘於俗，牽於世，繫奇偏之辭哉？」3.連帶、涉及。如：「牽涉」、「牽連」。唐．元稹《鶯鶯傳》：「長安行樂之地，觸緒牽情。」唐．韋嗣立〈省刑罰疏〉：「楊豫之後，刑獄漸興，用法之伍，務於窮竟，連坐相牽，數年不絕。」[名]姓。如三國時魏國有牽招。
前,[形]1.在正面的、臉所向的一面。與「後」相對。如：「前門」、「前方」、「面前」。《論語．子罕》：「瞻之在前，忽焉在後。」唐．李白〈靜夜思〉詩：「床前明月光，疑是地上霜。」2.次序在先的。如：「前三名」、「請大家坐到前排來。」3.過去的、較早的。與「後」相對。如：「前天」、「前人種樹，後人乘涼。」《史記．卷六．秦始皇本紀》云：「前事之不忘，後事之師也。」4.已成歷史的。如：「前清」、「前蘇聯」。5.前任的簡稱。如：「前妻」、「前總理」。6.未來的。如：「前程」、「前途」、「前景看好」。[動]向前走。如：「勇往直前」、「畏縮不前」。唐．韓愈〈左遷至藍關示姪孫湘〉詩：「雲橫秦嶺家何在？雪擁藍關馬不前。」
遣,[動]1.差使、派發。如：「差遣」、「先遣部隊」、「調兵遣將」。《墨子．非儒下》：「乃遣子貢之齊，因南郭惠子，以見田常。」2.釋放、放走。如：「遣散」。《後漢書．卷一．光武帝紀上》：「輒平遣囚徒，除王莽苛政，復漢官名。」3.放逐、貶謫。漢．王符《潛夫論．賢難》：「及太子問疾，帝令吮癰，有難之色，帝不悅而遣太子。」唐．韓愈〈柳子厚墓誌銘〉：「中山劉夢得禹錫亦在遣中。」4.排解、消除。如：「消遣」、「排遣」。唐．杜甫〈白水縣崔少府十九翁高齋三十韻〉：「始知賢主人，贈此遣愁寂。」《紅樓夢》第五回：「趁著這奈何天、傷懷日、寂寥時，試遣愚衷。」5.使、令。元．翁森〈四時讀書樂〉詩：「蹉跎莫遣韶光老，人生惟有讀書好。」
欠,[動]1.累的時候，張嘴呵氣。如：「呵欠」。《儀禮．士相見禮》：「君子欠伸。」漢．鄭玄．注：「志倦則欠，體倦則伸。」2.肢體稍上提移。如：「欠身」。《紅樓夢》第九七回：「那黛玉卻又把身子欠起，紫鵑只得兩隻手來扶著他。」3.借人財物未還或該給而未給。如：「欠帳」、「欠薪水」。《紅樓夢》第五回：「欠命的命已還，欠淚的淚已盡。」4.缺少。如：「你還欠多少？」、「這盤菜欠點兒鹽。」[副]不夠、缺乏。語氣較「不」稍委婉。如：「欠安」、「欠妥」、「欠考慮」。[名]1.債務。如：「舊欠未清」。2.二一四部首之一。
俔,[動]譬喻。《廣韻．上聲．銑韻》：「俔，譬喻。」《詩經．大雅．大明》：「大邦有子，俔天之妹。」
侵,[動]1.強力進犯。如：「侵略」、「侵犯」、「侵占」、「入侵」。《左傳．僖公四年》：「齊侯以諸侯之師侵蔡。」《史記．卷一二四．游俠傳．序》：「豪暴侵淩孤弱，恣欲自快。」2.逼近。唐．杜牧〈旅宿〉詩：「遠夢歸侵曉，家書到隔年。」宋．陸游〈秋夜讀書每以二鼓盡為節〉詩：「白髮無情侵老境，青燈有味似兒時。」3.親近。《水滸傳》第三二回：「相貌堂堂強壯士，未侵女色少年郎。」
秦,[名]1.朝代名。參見「秦朝」條。2.大陸地區陝西省的簡稱。3.姓。如宋代有秦觀。
禽,[名]1.鳥類的總稱。《爾雅．釋鳥》：「二足而羽謂之禽。」如：「家禽」、「飛禽」。《文選．謝靈運．登池上樓詩》：「池塘生春草，園柳變鳴禽。」2.姓。如漢代有禽堅。[動]捕捉。通「擒」。《史記．卷九二．淮陰侯傳》：「陛下不能將兵，而善將將，此乃信之所以為陛下禽也。」
擒,[動]捕捉。如：「欲擒故縱」、「擒賊先擒王」。《韓非子．存韓》：「是我兵未出，而勁韓以威擒。」《三國演義》第九○回：「驅巨獸六破蠻兵，燒藤甲七擒孟獲。」
寢,[動]1.睡覺、臥息。如：「小寢」。《論語．公冶長》：「宰予晝寢。」2.躺臥。《左傳．襄公二十一年》：「臣食其肉而寢處其皮矣。」3.停止。《新唐書．卷一七三．裴度傳》：「汲黯在朝，淮南寢謀。」《三國演義》第一一五回：「今聞鄧艾善能用兵，因此寢其事矣。」4.隱瞞。唐．元稹《鶯鶯傳》：「誠欲寢其詞，則保人之姦，不義。」[形]1.像動物趴著的樣子。《荀子．解蔽》：「冥冥而行者，見寢石以為伏虎也。」2.相貌醜陋。《史記．卷一○七．武安侯傳》：「武安者，貌寢，生貴甚。」清．魏禧〈大鐵椎傳〉：「時座上有健啖客，貌甚寢。」[名]1.臥室、居室。如：「寢室」、「正寢」。《左傳．昭公十八年》：「子大叔之廟在道南，其寢在道北。」2.宗廟收藏祖先衣冠的地方。亦泛指宗廟。《呂氏春秋．孟春紀．孟春》：「執爵于太寢。」《禮記．月令》：「寢廟畢備。」唐．孔穎達．正義：「寢，衣冠所藏之處。」3.古代帝王的墳墓。如：「陵寢」。
沁,[動]1.滲入、滲進。如：「沁骨」、「沁入心脾」。唐．孫欣〈奉試冷井詩〉：「仙闈井初鑿，靈液沁成泉。」2.汲水。唐．韓愈、孟郊〈同宿聯句〉：「義泉雖至近，盜索不敢沁。」[名]河川名。源出於大陸地區山西省沁源縣北，東南流至河南省武涉縣折南注入黃河。
羌,[名]1.中國西北少數民族之一。舊稱為西戎，分布在今大陸地區青海、甘肅、四川一帶。2.動物名。鹿科麂屬。全身披褐色短毛，雄羌頭上長角，形體大小及吠聲似狗。行動隱密敏捷，常出沒在清晨及傍晚時的山地濃密林區，以野菜、鮮草、嫩葉為食。3.姓。如晉代有羌迪。[助]句首發語詞，無義。《楚辭．屈原．離騷》：「羌內恕己以量人兮，各興心而嫉妒。」漢．王逸．注：「羌，楚人語詞也。」[連]乃、卻、反而。表示轉折、並列或假設。《楚辭．屈原．離騷》：「曰黃昏以為期兮，羌中道而改路。」《文選．王延壽．魯靈光殿賦》：「邈希世而特出，羌瑰譎而鴻紛。」
戕,[動]殺害、傷害。如：「自戕」、「戕害」。《孟子．告子上》：「將戕賊杞柳，而後以為桮棬也。」漢．曹操〈蒿里行〉：「勢利使人爭，嗣還自相戕。」
牆,[名]1.用磚、石等砌成，可作間隔或屏障的建築。如：「宮牆」、「城牆」、「圍牆」。《論語．公冶長》：「朽木不可雕也，糞土之牆不可杇也。」宋．張先〈青門引．乍暖還輕冷〉詞：「那堪更被明月，隔牆送過秋千影。」2.泛指由人或物組合成像牆的部分。如：「人牆」、「電視牆」。
彊,[名]1.硬弓。《說文解字．弓部》：「彊，弓有力也。」2.姓。如漢代有彊華。[形]壯盛、健壯。同「強」。《書經．洪範》：「身其康彊。」《墨子．脩身》：「故君子力事日彊，願欲日逾，設壯日盛。」[動]加強。同「強」。《荀子．天論》：「彊本而節用，則天不能貧。」
慶,[名]1.可喜可賀的事情。如：「校慶」、「七十大慶」、「雙十國慶」。《國語．周語下》：「晉國有憂未嘗不戚，有慶未嘗不怡。」2.福澤。《易經．坤卦．文言曰》：「積善之家，必有餘慶。」《魏書．卷六七．崔光傳》：「修德延賢，消災集慶。」3.德、善。《書經．呂刑》：「一人有慶，兆民賴之。」漢．孔安國．傳：「天子有善，則兆民賴之。」4.姓。如漢代有慶鴻。[動]賀喜。如：「慶祝」、「慶賀」、「慶功宴」。《國語．魯語下》：「固慶其喜而弔其憂。」
磬,[名]樂器名，打擊樂器：(1)古代用玉石或金屬製成的打擊樂器。形狀像曲尺，可懸掛在架上。數量不一，有單一的特磬，也有成組排列的編磬。(2)古同「罄」。中空銅製，形狀像缽。寺觀禮佛時所敲奏的樂器。僧人於誦經、法會等活動時敲擊。
曲,[名]1.拐彎的地方。如：「山曲」、「河曲」。唐．李白〈惜餘春賦〉：「漢之曲兮江之潭。」2.事理不直。如：「是非曲直」。《左傳．僖公二十八年》：「若其不還，君退臣犯，曲在彼矣。」3.心中的隱情。如：「衷曲」、「心曲」、「互通款曲」。4.偏僻的小地方。如：「鄉曲」。唐．蔣防《霍小玉傳》：「住在勝業坊古寺曲，甫上車門宅是也。」5.局部、一部分。《荀子．解蔽》：「凡人之患蔽於一曲。」6.養蠶的器具。《史記．卷五七．絳侯周勃世家》：「勃以織薄曲為生。」7.姓。如漢代有曲證。[動]彎折。通「屈」。如：「曲膝」、「曲突徙薪」。《論語．述而》：「飯疏食飲水，曲肱而枕之，樂亦在其中矣。」[形]1.不直的。如：「曲線」、「曲尺」。《晏子春秋．內篇．雜上》：「曲刃鉤之，直兵推之。」2.不正的、偏邪的。如：「歪曲」、「邪曲」。《戰國策．趙策二》：「窮鄉多異，曲學多辯。」[副]1.勉強的。如：「委曲求全」。《鏡花緣》第四六回：「甥女主意已定，務望舅舅曲從。」2.周全、盡心盡力。如：「曲盡孝道」。《易經．繫辭上》：「曲成萬物而不遺。」
驅,[名]前鋒、領頭者。如：「前驅」、「先驅」。[動]1.奔走。如：「驅騁」、「並駕齊驅」、「長驅直入」。2.鞭馬前進。《詩經．唐風．山有樞》：「子有車馬，弗馳弗驅。」3.泛指驅趕牲畜。如：「驅牛」、「驅羊」。4.泛指趕走、逐離。如：「驅散」、「驅蟲」。宋．陸游〈賞山園牡丹有感〉詩：「周漢故都亦豈遠，安得尺箠驅群胡。」5.駕馭、役使。如：「驅策」。《管子．君臣下》：「沉疑之得民也者，前貴而後賤者為之驅也。」6.逼使、迫使。如：「驅迫」。《晉書．卷三三．石苞傳》：「苟尊勢所驅，何所不至，望奉法之直繩，不可得也。」
取,[動]1.拿。如：「取款」、「各取所需」、「探囊取物」。唐．常建〈宿五度溪仙人得道處〉詩：「前溪遇新月，聊取玉琴彈。」2.得到。如：「取樂」、「取暖」、「取信於人」。3.接受、收受。如：「分文不取」。《孟子．離婁下》：「可以取，可以無取，取傷廉。」4.捕捉。《詩經．豳風．七月》：「取彼狐貍，為公子裘。」5.選擇。如：「取士」、「取景」、「取道」、「取名」。《三國演義》第六三回：「統令魏延為先鋒，取南小路而進。」6.求、尋求。如：「自取滅亡」。《文選．張衡．西京賦》：「列爵十四，競媚取榮。」7.迎娶。通「娶」。《詩經．豳風．伐柯》：「取妻如何？匪媒不得。」《史記．卷三三．魯周公世家》：「莊公取齊女為夫人曰哀姜。」[助]置於動詞後，表示動作的進行。唐．杜秋娘〈金縷衣〉詩：「勸君莫惜金縷衣，勸君惜取少年時。」[名]姓。如宋代有取希作。
娶,[動]男子迎接女子過門成親。如：「嫁娶」、「娶老婆」、「娶妻娶德」。南朝宋．劉義慶《世說新語．文學》：「裴散騎娶王太尉女。」
齲,參見「齲齒」條。
去,[動]1.往、到。與「來」相對。如：「去學校」、「去郊遊」、「去餐館吃飯」。唐．李白〈贈韋祕書子春〉詩二首之二：「終與安社稷，功成去五湖。」2.離開。如：「去職」。《漢書．卷八五．何武傳》：「去後常見思。」3.死亡。明．湯顯祖《牡丹亭》第二七齣：「杜衙小姐去三年，待與招魂上九天。」4.距離。如：「去古已遠。」唐．李白〈蜀道難〉：「連峰去天不盈尺，枯松倒挂倚絕壁。」5.送、發出。如：「去信」、「去電報」。6.除掉。如：「去一層皮。」宋．沈括《夢溪筆談．卷三．辯證一》：「不求去礙，而欲見不顛倒，難矣哉！」7.放棄。《莊子．大宗師》：「離形去知。」《漢書．卷九四．匈奴傳上》：「得漢食物皆去之，以視不如重酪之便美也。」8.失掉。如：「大勢已去」。《史記．卷八七．李斯傳》：「胥人者，去其幾也。」[形]過去的。如：「去年」。《文選．曹操．短歌行》：「譬如朝露，去日苦多。」[助]表示事情的進行。相當於「啊」、「了」。如：「他睡覺去了。」、「他上班去了。」唐．李賀〈沙路曲〉：「斷燼遺香褭翠煙，燭騎啼烏上天去。」宋．蘇軾〈海棠〉詩：「只恐夜深花睡去，故燒高燭照紅妝。」[名]1.平上去入四聲之一。參見「去聲」條。2.姓。如漢代有去卑。
泉,[名]1.水的源頭。《文選．曹冏．六代論》：「夫泉竭則流涸。」宋．歐陽修〈醉翁亭記〉：「峰回路轉，有亭翼然，臨於泉上者，醉翁亭也。」2.地下水。宋．蘇軾〈潮州韓文公廟碑〉：「譬如鑿井得泉，而曰水專在是，豈理也哉？」3.人死後所在的地方。如：「黃泉」、「九泉」。《文選．王粲．七哀詩二首之一》：「悟彼下泉人，喟然傷心肝。」唐．白居易〈夜遇微之於峽中〉詩：「往事渺茫都似夢，舊遊流落半歸泉。」4.古代的錢幣。錢的流行像泉水一樣，故稱為「泉」。如：「泉布」、「刀泉」、「貨泉」。《管子．輕重丁》：「凡稱貸之家，出泉參千萬，出粟參數千萬鍾。」5.姓。如唐代有泉男生。
犬,[名]1.動物名。即狗。哺乳綱食肉目。嗅覺、聽覺異常敏銳，馴化後，可守衛門戶或幫助打獵。2.二一四部首之一。
兮,[助]用於句中或句末，相當於「啊」：(1) 表示感嘆的語氣。《詩經．唐風．綢繆》：「子兮子兮，如此良人何？」《史記．卷七．項羽本紀》：「力拔山兮氣蓋世，時不利兮騅不逝。」(2) 表示贊嘆、肯定的語氣。《詩經．鄭風．羔裘》：「彼其之子，邦之彥兮。」
西,[名]1.方位名。為日落的一方，與「東」相對。如：「由西往東」。2.稱歐美西方國家。如：「中西合併」。3.西班牙的簡稱。4.姓。如明代有西鳴岐。[形]1.西邊的。如：「日落西山」。2.西方國家的、歐美國家的。如：「西服」、「西餐」、「西裝」、「西醫」。
析,[動]1.剖開、劈開。《詩經．齊風．南山》：「析薪如之何？匪斧不克。」《文選．鄒陽．獄中上書自明》：「剖心析肝相信，豈移於浮辭哉？」2.分開、離散。如：「分崩離析」、「條分縷析」。《漢書．卷三○．藝文志》：「五經乖析，儒學寖衰。」《文選．王讚．雜詩》：「胡寧久分析，靡靡忽至今。」3.解釋、辨釋。如：「解析」、「辨析」、「析疑」。晉．陶淵明〈移居〉詩二首之二：「奇文共欣賞，疑義相與析。」
訢,[動]感應、融合。《禮記．樂記》：「天地訢合，陰陽相得。」
屎,參見「殿屎」條。
奚,[名]1.奴隸、僕役。如：「奚僮」、「小奚」。《周禮．天官．冢宰》：「酒人俺十人，女酒三十人，奚三百人。」漢．鄭玄．注：「古者從坐男女，沒入縣官為奴，其少才知以為奚。今之侍史、官婢，或曰：『奚，宦女。』」2.中國古代北方少數民族之一。屬東胡族，本名「庫莫奚」，至隋朝始稱為「奚」。其地東北接契丹，西毗突厥，南臨白浪河，北接霫國。後為契丹所併。3.地名。春秋時魯地，為奚仲之邑。故址在今大陸地區山東省滕縣東南。4.姓。如明代有奚銘。[副]為何、為什麼。表示疑問的語氣。《論語．為政》：「或謂孔子曰：『子奚不為政？』」《韓非子．和氏》：「子奚哭之悲也？」
嬉,[動]遊戲、玩耍。如：「嬉戲」。《文選．張衡．歸田賦》：「諒天道之微昧，追漁父以同嬉。」唐．韓愈〈進學解〉：「業精于勤荒于嬉，行成于思毀于隨。」
熹,[形]微明的。《文選．陶淵明．歸去來辭》：「問征夫以前路，恨晨光之熹微。」
羲,[名]1.參見「伏羲氏」條。2.姓。如上古時代有羲仲。
昔,[形]過去的、從前的。如：「昔日」。唐．崔顥〈黃鶴樓〉詩：「昔人已乘黃鶴去，此地空餘黃鶴樓。」[名]1.夜晚。通「夕」。《左傳．哀公四年》：「為一昔之期，襲梁及霍。」《文選．古樂府．飲馬長城窟行》：「遠道不可思，夙昔夢見之。」2.姓。如漢代有昔登。
息,[名]1.呼吸時出入的氣。如：「窒息」、「奄奄一息」、「一息尚存」。《聊齋志異．卷七．青娥》：「略聞香息，心願竊慰。」2.子女、兒子。如：「子息」。《戰國策．趙策四》：「老臣賤息舒祺，最少，不肖。」《聊齋志異．卷二．嬰寧》：「弱息僅存，亦為庶產。」3.利錢。如：「利息」、「月息」、「年息」。《史記．卷七五．孟嘗君傳》：「貧不能與息者，取其券而燒之。」4.音訊、音信。如：「消息」、「信息」。5.贅肉。通「瘜」。《黃帝素問靈樞經．卷一．邪氣藏府病形篇》：「若鼻息肉不通，緩甚為多汗，微緩為痿瘻偏風。」6.姓。如明代有息隆泰。[動]1.呼吸、喘氣。《漢書．卷五四．蘇建傳》：「武氣絕，半日復息。」2.休憩、放鬆身心。如：「歇息」、「休息」。《孟子．梁惠王下》：「飢者弗食，勞者弗息。」3.停止、消失。如：「止息」、「息怒」、「川流不息」。《漢書．卷四八．賈誼傳》：「百姓素樸，獄訟衰息。」4.繁殖、滋長。《荀子．大略》：「有國之君，不息牛羊。」《戰國策．齊策四》：「振困窮，補不足，是助王息其民者也。」
媳,[名]稱謂：(1) 稱兒子的妻子。《字彙．女部》：「媳，俗謂子婦為媳。」如：「婆媳」。(2) 泛稱弟弟或晚輩的妻子。如：「孫媳」、「姪媳」、「弟媳」。
習,[動]1.鳥類頻頻拍動翅膀試飛。《說文解字．習部》：「習，數飛也。」元．戴侗《六書故．卷一九．動物》：「習，鳥肄飛也。……引之則凡數數扇闔者，皆謂之習。」2.反覆演練、鑽研。如：「溫習」、「研習」。《論語．學而》：「學而時習之，不亦說乎？」3.熟悉，通曉。《戰國策．秦策五》：「嘗無師傅所教學，不習於誦。」《管子．正世》：「明於治亂之道，習於人事之終始者也。」[名]1.反覆拍動翅膀的動作。《禮記．月令》：「鷹乃學習，腐草為螢。」2.積久養成的慣性行為。如：「舊習」、「惡習」、「積習難改」。《論語．陽貨》：「性相近也，習相遠也。」3.親信、親狎的人。《禮記．月令》：「雖有貴戚近習，毋有不禁。」《後漢書．卷六．孝順帝等紀．贊曰》：「匪砥匪革，終淪嬖習。」4.姓。如明代有習經。[副]時常、常常。《漢書．卷五六．董仲舒傳》：「習聞其號，未燭厥理。」《後漢書．卷六一．黃瓊傳》：「瓊隨父在臺閣，習見故事。」
襲,[名]1.死者所穿的衣服，衣襟在左。《說文解字．衣部》：「襲，左衽袍。」2.量詞。計算成套的衣服或被褥的單位。《史記．卷四三．趙世家》：「賜相國衣二襲。」《漢書．卷七．昭帝紀》：「有不幸者，賜衣被一襲。」3.姓。如晉代有襲元之。[動]1.為死者穿衣服。漢．劉熙《釋名．釋喪制》：「衣尸曰襲。襲，匝也。以衣周匝，覆衣之也。」2.加一件外衣。《禮記．內則》：「寒不敢襲，癢不敢搔。」3.穿上。《文選．司馬相如．上林賦》：「襲朝服，乘法駕。」宋．蘇軾〈和陶歸去來兮辭〉：「豈襲裘而念葛，蓋得稱而喪微。」4.重複、重疊。《左傳．哀公十年》：「吾卜於此起兵，事不再令，卜不襲吉。」《淮南子．氾論》：「此聖人所以重仁襲恩。」5.因循。如：「沿襲」、「因襲」。《史記．卷二四．樂書》：「五帝三王，樂各殊名，示不相襲。」《文選．陸機．文賦》：「或襲故而彌新，或沿濁而更清。」6.繼承、接受。如：「世襲」。《左傳．昭公二十八年》：「故襲天祿，子孫賴之。」7.趁人不備而攻擊。如：「偷襲」、「侵襲」。《左傳．莊公二十九年》：「凡師有鐘鼓曰伐，無曰侵，輕曰襲。」8.及至、撲向。如：「春風襲面」、「涼意襲人」。《楚辭．屈原．九歌．少司命》：「綠葉兮素枝，芳菲菲兮襲予。」9.調和。《淮南子．天文》：「天地之襲精為陰陽。」漢．高誘．注：「襲，合也；精，氣也。」
洒,[動]洗滌。同「洗」。《說文解字．水部》：「洒，滌也。」《孟子．梁惠王上》：「南辱於楚，寡人恥之，願比死者壹洒之。」
洗,[動]1.以水或溶劑滌除汙穢、汙垢。如：「洗衣」、「洗碗」、「一貧如洗」。《詩經．大雅．行葦》：「或獻或酢，洗爵奠斝。」《西遊記》第四八回：「只見陳家老者，著兩個僮僕，掃開道路，又兩個送出熱湯洗面。」2.清除、洗雪。如：「洗罪」、「洗冤」。《後漢書．卷六五．段熲傳》：「洗雪百年之逋負，以慰忠將之亡魂。」3.殺、搶。如：「一幫搶匪把全村的人都洗了。」[名]古代用以盛水的盥洗器具，似今日的臉盆。《儀禮．士冠禮》：「夙興設洗，直于東榮。」
喜,[動]1.愛好。如：「喜愛」、「好大喜功」、「喜出望外」。《史記．卷四七．孔子世家》：「孔子晚而喜易。」2.感到歡樂。《詩經．小雅．菁菁》：「既見君子，我心則喜。」[名]1.吉祥的事。如：「道喜」、「賀喜」。《國語．魯語下》：「夫義人者，固慶其喜而弔其憂，況畏而服焉？」2.稱婦人懷孕。如：「有喜」、「害喜」。《紅樓夢》第一○回：「叫大夫瞧了，又說並不是喜。」3.舊時稱小孩出痘子為「喜」。《紅樓夢》第二一回：「姐兒發熱，是見喜了，並非別病。」4.姓。如元代有喜同。[形]1.高興的、快樂的。如：「欣喜」、「歡喜」、「喜訊」。2.結婚的。如：「喜帖」、「喜宴」、「喜酒」、「喜餅」。
夕,[名]1.傍晚、日落時分。如：「朝不保夕」。《周禮．天官．宮正》：「為之版以待，夕擊柝而比之。」2.泛指夜晚。如：「終夕不寐」、「一夕長談」。唐．杜甫〈贈衛八處士〉詩：「今夕復何夕，共此燈燭光。」清．洪昇《長生殿》第二齣：「此夕歡娛，風清月朗，笑他夢雨暗高唐。」3.二一四部首之一。
卌,[名]四十。《廣韻．入聲．緝韻》：「卌，《說文》云：『數名。』今直以為四十字。」
系,[動]1.懸繫。《說文解字．糸部》：「系，懸也。」三國魏．曹植〈輔臣論〉：「群言系于口，而研覈是非。」2.接續、繼承。《文選．班固．東都賦》：「系唐統，接漢緒。」[名]1.有一定秩序及聯屬關係的整體或組織。如：「世系」、「太陽系」、「直系血親」、「中古音系」。《新唐書．卷二○三．文藝傳下．李賀傳》：「李賀字長吉，系出鄭王後。」2.大學中所分的學術科別。如：「中文系」、「哲學系」、「物理系」。3.姓。如春秋時楚國有系益。
係,[動]1.綑綁。通「繫」。《國語．越語》：「將焚宗廟，係妻孥。」《文選．賈誼．過秦論》：「百越之君俛手係頸。」2.關連、牽涉。如：「此事關係眾人的前途，務必謹慎處理才是！」。唐．李商隱〈韓碑〉詩：「古者世稱大手筆，此事不係于職司。」3.是。如：「確係」、「實係」。《喻世明言．卷二六．沈小官一鳥害七命》：「這畜生只除天上有，果係世間無。」[名]繫物的繩子。《樂府詩集．卷二八．相和歌辭三．古辭．陌上桑》：「青絲為籠係，桂枝為籠鉤。」
祫,[名]古代在太廟中合祭遠近祖先的祭祀，每三年舉行一次。《說文解字．示部》：「祫，大合祭先祖親疏遠近也。《周禮》曰：『三歲一祫。』」《公羊傳．文公二年》：「大祫者何？合祭也。」
舝,[名]貫穿車軸頭的金屬鍵，以防輪子脫落。同「轄」。《說文解字．舛部》：「舝，車軸耑鍵也。」清．段玉裁．注：「以鐵豎貫軸頭而制轂如鍵閉然。」《詩經．小雅．車舝》：「間關車之舝兮，思孌季女逝兮。」
